Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Bulbasaur,30,5,5,7,7,5,Grass,Poison,Tackle,Leech Seed,Vine Whip,Small,Light,Sprouter,Threaded,,,,,,Growl,Overgrow,,,,,,Grass,Poison,Floral,,,,,Vine Whip,Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,,,,,,,,,,,,,,,
Ivysaur,36,6,6,8,8,6,Grass,Poison,Poison Powder,Sleep Powder,Razor Leaf,Medium,Medium,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,,,,,Grass,Poison,Floral,,,,,Vine Whip,Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,,Bulbasaur,,,,,,,,,,,,,
Venusaur,48,8,8,10,10,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Large,Heavy,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,,,G-Max Vine Lash,Ivysaur,,,,,,,,,,,,,
Mega Venusaur,48,10,12,12,12,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Huge,Heavy,Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,Thicker Fat,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,11 Days,Forest,Jungle,,,,Phototroph,Rare,Venusaur,Mega,G-Max Vine Lash,Ivysaur,,,,,,,,,,,,,
Gigantamax Venusaur,240,8,8,10,10,8,Grass,Poison,Petal Dance,Synthesis,Solar Beam,Large (Dynamic),Heavy (Dynamic),Sprouter,Threaded,,,,,,Growth,Growl,Overgrow,Chlorophyll,,,,Grass,Poison,Floral,Stampeding,,,,"Vine Whip, Frenzy Plant, Power Whip",Monster,Grass,10 Days,Forest,Jungle,,,,Phototroph,Rare,Venusaur,Gigantamax,G-Max Vine Lash,Ivysaur,,,,,,,,,,,,,
Chikorita,30,5,7,5,7,5,Grass,,Tackle,Razor Leaf,Synthesis,Small,Light,Sprouter,Alluring,,,,,,Growl,Overgrow,,,,,,Grass,Floral,Healer,,,,,Vine Whip,Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,,,,,,,,,,,,,,
Bayleef,36,6,8,6,8,6,Grass,,Reflect,Light Screen,Magical Leaf,Medium,Medium,Sprouter,Alluring,,,,,,Growl,Overgrow,,,,,,Grass,Floral,Healer,,,,,Vine Whip,Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,Chikorita,,,,,,,,,,,,,
Meganium,48,8,10,8,10,8,Grass,,Safeguard,Aromatherapy,Petal Blizzard,Large,Heavy,Sprouter,Alluring,,,,,,Growl,Overgrow,Leaf Guard,,,,,Grass,Floral,Healer,,,,,"Vine Whip, Frenzy Plant",Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,Bayleef,,,,,,,,,,,,,
Treecko,24,5,4,7,6,7,Grass,,Pound,Absorb,Quick Attack,Small,Light,Climber,Sprouter,,,,,,Leer,Overgrow,,,,,,Grass,,,,,,,,Monster,Dragon,10 Days,Forest,,,,,Omnivore,Rare,,,,,,,,,,,,,,,,,
Grovyle,30,7,5,9,7,10,Grass,,Fury Cutter,Pursuit,Leaf Blade,Medium,Medium,Climber,Sprouter,,,,,,Agility,Leer,Overgrow,,,,,Grass,Blades/Claws,Draconian,,,,,,Monster,Dragon,10 Days,Forest,,,,,Omnivore,Rare,,,,Treecko,,,,,,,,,,,,,
